Model,Vehicle Type,Base Price,Dest. Charge,Tax Credit,Effective Price,Drive,Battery (kWh),EPA Range (mi),0-60 mph (sec),Top Speed (mph),GVWR
"2022 Audi e-tron GT quattro 20""",Sedan,"$102,400","$1,045","$7,500","$95,945",AWD,93.4,238,3.9,152,
"2022 Audi RS e-tron GT quattro 20""",Sedan,"$142,400","$1,045","$7,500","$135,945",AWD,93.4,232,3.1,155,
"2022 Audi e-tron quattro 20""",SUV,"$65,900","$1,095","$7,500","$59,495",AWD,95,222,5.5,124,
"2022 Audi e-tron Sportback quattro 20""",SUV,"$69,100","$1,095","$7,500","$62,695",AWD,95,218,5.5,124,
"2022 Audi e-tron S 20""",SUV,"$84,800","$1,095","$7,500","$78,395",AWD,95,208,4.3,130,
"2022 Audi e-tron S 21""",SUV,"$87,450","$1,095","$7,500","$81,045",AWD,95,181,4.3,130,
"2022 Audi e-tron S Sportback 20""",SUV,"$87,400","$1,095","$7,500","$80,995",AWD,95,212,4.3,130,
"2022 Audi e-tron S Sportback 21""",SUV,"$90,050","$1,095","$7,500","$83,645",AWD,95,185,4.3,130,
"2022 Audi Q4 40 e-tron 19""",SUV,"$43,900","$1,095","$7,500","$37,495",RWD,82,250,7.9,99,
"2022 Audi Q4 50 e-tron quattro 19""",SUV,"$49,900","$1,095","$7,500","$43,495",AWD,82,241,5.8,112,
"2022 Audi Q4 Sportback 50 e-tron quattro 20""",SUV,"$52,700","$1,095","$7,500","$46,295",AWD,82,241,5.8,112,
"2022 BMW i4 eDrive40 18""",Sedan,"$55,400",$995,"$7,500","$48,895",RWD,83.9,301,5.5,118,
"2022 BMW i4 M50 19""",Sedan,"$65,900",$995,"$7,500","$59,395",AWD,83.9,270,3.7,130,
"2022 BMW iX xDrive50 20""",SUV,"$83,200",$995,"$7,500","$76,695",AWD,111.5,324,4.4,124,
2023 Cadillac Lyriq Debut Edition,SUV,"$58,795",$995,N/A,"$59,990",RWD,100.4,300,,,
2022 Chevrolet Bolt EV,SUV,"$31,000",$995,N/A,"$31,995",FWD,65,259,6.5,,
2022 Chevrolet Bolt EUV,SUV,"$33,000",$995,N/A,"$33,995",FWD,65,247,7,,
"2022 Ford F-150 Pro SR 18""",Truck,"$39,974","$1,695","$7,500","$34,169",AWD,110,230,,,8250
"2022 Ford F-150 Pro ER (fleets) 18""",Truck,"$49,974","$1,695","$7,500","$44,169",AWD,145,300,,,8250
"2022 Ford F-150 Lightning XLT SR 18""",Truck,"$52,974","$1,695","$7,500","$47,169",AWD,110,230,,,8550
"2022 Ford F-150 Lightning XLT ER 20""",Truck,"$72,474","$1,695","$7,500","$66,669",AWD,145,300,,,8550
"2022 Ford F-150 Lightning Lariat SR 20""",Truck,"$67,474","$1,695","$7,500","$61,669",AWD,110,230,,,8550
"2022 Ford F-150 Lightning Lariat ER 20""",Truck,"$77,474","$1,695","$7,500","$71,669",AWD,145,300,,,8550
"2022 Ford F-150 Lightning Platinum ER 22""",Truck,"$90,874","$1,695","$7,500","$85,069",AWD,145,280,,,8550
"2022 Ford Mustang Mach-E Select SR RWD 18""",SUV,"$43,895","$1,100","$7,500","$37,495",RWD,75.7,247,5.8,,
"2022 Ford Mustang Mach-E Select SR AWD 18""",SUV,"$46,595","$1,100","$7,500","$40,195",AWD,75.7,224,5.2,,
"2022 Ford Mustang Mach-E Premium SR RWD 19""",SUV,"$49,100","$1,100","$7,500","$42,700",RWD,75.7,247,5.8,,
"2022 Ford Mustang Mach-E Premium SR AWD 19""",SUV,"$51,800","$1,100","$7,500","$45,400",AWD,75.7,224,5.2,,
"2022 Ford Mustang Mach-E Premium ER RWD 19""",SUV,"$55,100","$1,100","$7,500","$48,700",RWD,98.8,303,6.1,,
"2022 Ford Mustang Mach-E Premium ER AWD 19""",SUV,"$57,800","$1,100","$7,500","$51,400",AWD,98.8,277,4.8,,
"2022 Ford Mustang Mach-E Route 1 ER RWD 18""",SUV,"$52,775","$1,100","$7,500","$46,375",RWD,98.8,314,6.1,,
"2022 Ford Mustang Mach-E Route 1 ER AWD 18""",SUV,"$55,475","$1,100","$7,500","$49,075",AWD,98.8,312,4.8,,
"2022 Ford Mustang Mach-E GT ER AWD 20""",SUV,"$61,995","$1,100","$7,500","$55,595",AWD,98.8,270,3.8,,
"2022 Ford Mustang Mach-E GT Perf. ER AWD 20""",SUV,"$67,995","$1,100","$7,500","$61,595",AWD,98.8,260,3.5,,
2022 GMC Hummer EV Pickup (Edition 1),Truck,"$110,295",,N/A,"$110,295",AWD,200,329,3,,"9,063"
"2022 Hyundai Ioniq 5 SE SR RWD 19""",SUV,"$39,700","$1,225","$7,500","$33,425",RWD,58.2,220,,,
"2022 Hyundai Ioniq 5 SE RWD 19""",SUV,"$43,650","$1,225","$7,500","$37,375",RWD,77.4,303,,115,
